janela,np,modo,rep,wall_s,rss_kb,curva
20260805-1203,1,padrao,1,127.29,313424,identica
20260805-1203,1,padrao,2,125.69,313456,identica
20260805-1203,1,bindnone,1,120.44,312856,identica
20260805-1203,1,bindnone,2,122.32,313228,identica
20260805-1203,1,pe,1,125.51,312836,identica
20260805-1203,1,pe,2,120.87,313100,identica
20260805-1223,12,padrao,1,43.31,581812,identica
20260805-1223,12,padrao,2,39.00,581872,identica
20260805-1223,12,bindnone,1,42.08,581656,identica
20260805-1223,12,bindnone,2,44.56,581932,identica
20260805-1223,12,pe,1,0.03,14744,identica
20260805-1223,12,pe,2,0.03,14516,identica
