janela,versao,np,rep,wall,factors
2026-08-04,V0,1,1,147.93,0.6710 0.8642
2026-08-04,V2,1,1,135.65,0.6710 0.8642
2026-08-04,V0,2,1,89.91,0.6710 0.8642
2026-08-04,V2,2,1,73.91,0.6710 0.8642
2026-08-04,V0,4,1,64.26,0.6710 0.8642
2026-08-04,V2,4,1,49.84,0.6710 0.8642
2026-08-04,V0,6,1,76.77,0.6710 0.8642
2026-08-04,V2,6,1,53.28,0.6710 0.8642
2026-08-04,V0,8,1,75.14,0.6710 0.8642
2026-08-04,V2,8,1,51.89,0.6710 0.8642
2026-08-04,V0,12,1,80.66,0.6710 0.8642
2026-08-04,V2,12,1,50.65,0.6710 0.8642
2026-08-04,V0,1,2,146.49,0.6710 0.8642
2026-08-04,V2,1,2,136.16,0.6710 0.8642
2026-08-04,V0,2,2,87.53,0.6710 0.8642
2026-08-04,V2,2,2,75.22,0.6710 0.8642
2026-08-04,V0,4,2,64.54,0.6710 0.8642
2026-08-04,V2,4,2,51.83,0.6710 0.8642
2026-08-04,V0,6,2,70.97,0.6710 0.8642
2026-08-04,V2,6,2,55.81,0.6710 0.8642
2026-08-04,V0,8,2,69.06,0.6710 0.8642
2026-08-04,V2,8,2,55.54,0.6710 0.8642
2026-08-04,V0,12,2,69.70,0.6710 0.8642
2026-08-04,V2,12,2,49.86,0.6710 0.8642
2026-08-05,V2,1,1,150.40,0.6710 0.8642
2026-08-05,V4,1,1,132.45,0.6710 0.8642
2026-08-05,V2,2,1,79.59,0.6710 0.8642
2026-08-05,V4,2,1,71.45,0.6710 0.8642
2026-08-05,V2,4,1,51.25,0.6710 0.8642
2026-08-05,V4,4,1,46.19,0.6710 0.8642
2026-08-05,V2,6,1,53.29,0.6710 0.8642
2026-08-05,V4,6,1,46.08,0.6710 0.8642
2026-08-05,V2,8,1,49.30,0.6710 0.8642
2026-08-05,V4,8,1,44.67,0.6710 0.8642
2026-08-05,V2,12,1,48.71,0.6710 0.8642
2026-08-05,V4,12,1,44.05,0.6710 0.8642
2026-08-05,V2,1,2,144.52,0.6710 0.8642
2026-08-05,V4,1,2,132.88,0.6710 0.8642
2026-08-05,V2,2,2,77.49,0.6710 0.8642
2026-08-05,V4,2,2,72.50,0.6710 0.8642
2026-08-05,V2,4,2,51.07,0.6710 0.8642
2026-08-05,V4,4,2,45.93,0.6710 0.8642
2026-08-05,V2,6,2,53.48,0.6710 0.8642
2026-08-05,V4,6,2,46.15,0.6710 0.8642
2026-08-05,V2,8,2,49.79,0.6710 0.8642
2026-08-05,V4,8,2,47.72,0.6710 0.8642
2026-08-05,V2,12,2,47.92,0.6710 0.8642
2026-08-05,V4,12,2,44.61,0.6710 0.8642
2026-08-05-1250,V5,1,1,126.47,identica
2026-08-05-1250,V5,2,1,69.94,identica
2026-08-05-1250,V5,4,1,40.50,identica
2026-08-05-1250,V5,6,1,40.00,identica
2026-08-05-1250,V5,8,1,39.49,identica
2026-08-05-1250,V5,12,1,39.45,identica
2026-08-05-1250,V5,1,2,122.02,identica
2026-08-05-1250,V5,2,2,69.82,identica
2026-08-05-1250,V5,4,2,42.74,identica
2026-08-05-1250,V5,6,2,39.50,identica
2026-08-05-1250,V5,8,2,38.84,identica
2026-08-05-1250,V5,12,2,38.77,identica
