   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ag(111)-3d
 calculated by Guilherme (IFGW) on Aug  4, 2026

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  20.0 and   4.09 angstrom
   cluster size= 247 atoms and spacings=  0.00  2.17  2.17  1.76 angs
   inner potential=  0.1 V  debye and sample temperature= 174, 300 K
   number of valence electrons=   9     bandgap energy=   0.00 eV
   density of bulk=   8.90 g/cm3     molecular weight=  58.93 amu
   effective weight for kind 1-2 =  107.9   58.9 amu
   half aperture angle=    1.5 deg            pathcut=     0.0050

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    19   779    1   19   41  779  ncurve npoint nk ntheta nphi nangle
   1    41  13.63   18.0    1.0    0.0   ----------------------------
  111.0    6.3439e-03    5.8275e-03    8.8602e-02   -1.3333e-02
  114.0    6.3969e-03    5.8275e-03    9.7708e-02   -2.6705e-02
  117.0    6.4488e-03    5.8275e-03    1.0660e-01   -1.1138e-02
  120.0    6.4580e-03    5.8275e-03    1.0818e-01    1.0988e-02
  123.0    6.4475e-03    5.8275e-03    1.0638e-01    1.5717e-02
  126.0    6.3942e-03    5.8275e-03    9.7245e-02    2.5430e-02
  129.0    6.3405e-03    5.8275e-03    8.8030e-02    5.2995e-02
  132.0    6.2581e-03    5.8275e-03    7.3888e-02    5.4504e-02
  135.0    6.1025e-03    5.8275e-03    4.7190e-02    1.1787e-02
  138.0    5.9604e-03    5.8275e-03    2.2806e-02   -2.4085e-02
  141.0    5.7996e-03    5.8275e-03   -4.8008e-03   -4.8855e-02
  144.0    5.5576e-03    5.8275e-03   -4.6322e-02   -1.4787e-02
  147.0    5.3616e-03    5.8275e-03   -7.9951e-02   -2.0491e-02
  150.0    5.3077e-03    5.8275e-03   -8.9199e-02    1.1745e-02
  153.0    5.2020e-03    5.8275e-03   -1.0734e-01   -1.5968e-02
  156.0    5.2072e-03    5.8275e-03   -1.0646e-01   -1.2477e-02
  159.0    5.3576e-03    5.8275e-03   -8.0646e-02   -4.5813e-02
  162.0    5.4326e-03    5.8275e-03   -6.7771e-02   -6.3418e-02
  165.0    5.5777e-03    5.8275e-03   -4.2875e-02   -3.7200e-02
  168.0    5.7983e-03    5.8275e-03   -5.0175e-03   -8.1792e-03
  171.0    5.9044e-03    5.8275e-03    1.3198e-02    2.6642e-02
  174.0    5.9805e-03    5.8275e-03    2.6255e-02    2.0564e-02
  177.0    6.0521e-03    5.8275e-03    3.8531e-02    3.0183e-02
  180.0    6.0409e-03    5.8275e-03    3.6607e-02    7.7510e-02
  183.0    6.0520e-03    5.8275e-03    3.8518e-02    4.6800e-02
  186.0    5.9804e-03    5.8275e-03    2.6230e-02    4.7168e-02
  189.0    5.9042e-03    5.8275e-03    1.3161e-02    1.9678e-02
  192.0    5.7983e-03    5.8275e-03   -5.0250e-03    1.9096e-02
  195.0    5.5776e-03    5.8275e-03   -4.2888e-02   -6.0049e-03
  198.0    5.4327e-03    5.8275e-03   -6.7758e-02   -3.3532e-02
  201.0    5.3578e-03    5.8275e-03   -8.0609e-02   -2.7964e-03
  204.0    5.2074e-03    5.8275e-03   -1.0641e-01   -3.5458e-02
  207.0    5.2022e-03    5.8275e-03   -1.0730e-01   -3.7249e-02
  210.0    5.3079e-03    5.8275e-03   -8.9172e-02   -6.7729e-02
  213.0    5.3616e-03    5.8275e-03   -7.9956e-02   -1.5264e-02
  216.0    5.5574e-03    5.8275e-03   -4.6353e-02   -1.5289e-02
  219.0    5.7992e-03    5.8275e-03   -4.8625e-03    3.4591e-02
  222.0    5.9600e-03    5.8275e-03    2.2732e-02    2.5457e-02
  225.0    6.1021e-03    5.8275e-03    4.7112e-02    3.3885e-02
  228.0    6.2576e-03    5.8275e-03    7.3800e-02    4.5536e-03
  231.0    6.3400e-03    5.8275e-03    8.7944e-02   -1.3528e-02
   2    41  13.63   21.0    1.0    0.0   ----------------------------
  111.0    6.2943e-03    5.9304e-03    6.1349e-02   -7.3413e-02
  114.0    6.2228e-03    5.9304e-03    4.9295e-02    1.8364e-02
  117.0    6.1679e-03    5.9304e-03    4.0032e-02    5.1760e-02
  120.0    6.1350e-03    5.9304e-03    3.4500e-02    6.3395e-02
  123.0    6.1672e-03    5.9304e-03    3.9915e-02    2.5307e-02
  126.0    6.2211e-03    5.9304e-03    4.9008e-02    2.2145e-02
  129.0    6.2914e-03    5.9304e-03    6.0860e-02    1.1997e-02
  132.0    6.3131e-03    5.9304e-03    6.4524e-02    1.2015e-02
  135.0    6.2751e-03    5.9304e-03    5.8124e-02   -7.5110e-03
  138.0    6.1370e-03    5.9304e-03    3.4835e-02   -5.9268e-02
  141.0    5.9185e-03    5.9304e-03   -2.0063e-03   -7.6990e-02
  144.0    5.6951e-03    5.9304e-03   -3.9686e-02   -6.9689e-02
  147.0    5.5322e-03    5.9304e-03   -6.7149e-02   -3.2383e-02
  150.0    5.4493e-03    5.9304e-03   -8.1130e-02   -3.9124e-02
  153.0    5.4408e-03    5.9304e-03   -8.2562e-02   -3.1160e-02
  156.0    5.4894e-03    5.9304e-03   -7.4373e-02   -1.3027e-02
  159.0    5.5983e-03    5.9304e-03   -5.6002e-02    1.0815e-02
  162.0    5.7611e-03    5.9304e-03   -2.8553e-02    2.2556e-02
  165.0    5.8836e-03    5.9304e-03   -7.9049e-03    4.8580e-02
  168.0    5.9132e-03    5.9304e-03   -2.8997e-03    7.8555e-02
  171.0    6.0148e-03    5.9304e-03    1.4217e-02    6.9755e-02
  174.0    6.0698e-03    5.9304e-03    2.3495e-02    1.4306e-02
  177.0    6.1216e-03    5.9304e-03    3.2228e-02   -2.7015e-02
  180.0    6.1311e-03    5.9304e-03    3.3832e-02    2.9564e-04
  183.0    6.1215e-03    5.9304e-03    3.2214e-02   -1.2900e-02
  186.0    6.0696e-03    5.9304e-03    2.3468e-02    3.8259e-02
  189.0    6.0145e-03    5.9304e-03    1.4176e-02    3.4685e-02
  192.0    5.9131e-03    5.9304e-03   -2.9169e-03    5.2255e-02
  195.0    5.8837e-03    5.9304e-03   -7.8768e-03    1.3629e-02
  198.0    5.7615e-03    5.9304e-03   -2.8484e-02    6.6550e-04
  201.0    5.5986e-03    5.9304e-03   -5.5964e-02    1.3659e-02
  204.0    5.4893e-03    5.9304e-03   -7.4392e-02   -9.9448e-03
  207.0    5.4404e-03    5.9304e-03   -8.2625e-02   -6.9394e-02
  210.0    5.4489e-03    5.9304e-03   -8.1199e-02   -9.4282e-02
  213.0    5.5319e-03    5.9304e-03   -6.7198e-02   -6.0676e-02
  216.0    5.6950e-03    5.9304e-03   -3.9705e-02   -3.0548e-02
  219.0    5.9186e-03    5.9304e-03   -1.9997e-03    1.4995e-02
  222.0    6.1372e-03    5.9304e-03    3.4864e-02   -1.6832e-03
  225.0    6.2754e-03    5.9304e-03    5.8172e-02    2.1609e-02
  228.0    6.3135e-03    5.9304e-03    6.4592e-02    1.8540e-02
  231.0    6.2918e-03    5.9304e-03    6.0931e-02    5.1096e-02
   3    41  13.63   24.0    1.0    0.0   ----------------------------
  111.0    7.1175e-03    6.3857e-03    1.1461e-01   -1.2490e-02
  114.0    6.9137e-03    6.3857e-03    8.2693e-02   -3.7491e-03
  117.0    6.7046e-03    6.3857e-03    4.9943e-02    8.2344e-03
  120.0    6.6312e-03    6.3857e-03    3.8460e-02    2.8238e-02
  123.0    6.7051e-03    6.3857e-03    5.0027e-02    1.0912e-02
  126.0    6.9124e-03    6.3857e-03    8.2487e-02    1.0955e-03
  129.0    7.1147e-03    6.3857e-03    1.1418e-01    6.1878e-03
  132.0    7.1697e-03    6.3857e-03    1.2278e-01    3.4016e-02
  135.0    7.1387e-03    6.3857e-03    1.1793e-01    4.1323e-02
  138.0    6.9211e-03    6.3857e-03    8.3859e-02   -1.7176e-03
  141.0    6.5447e-03    6.3857e-03    2.4907e-02   -5.2437e-02
  144.0    6.1499e-03    6.3857e-03   -3.6914e-02   -7.5042e-02
  147.0    5.8215e-03    6.3857e-03   -8.8348e-02   -5.9561e-02
  150.0    5.6158e-03    6.3857e-03   -1.2055e-01   -3.3071e-02
  153.0    5.6198e-03    6.3857e-03   -1.1993e-01   -3.7705e-02
  156.0    5.6608e-03    6.3857e-03   -1.1351e-01   -1.3808e-02
  159.0    5.8316e-03    6.3857e-03   -8.6770e-02   -3.6766e-03
  162.0    6.0344e-03    6.3857e-03   -5.5007e-02    2.5569e-02
  165.0    6.2634e-03    6.3857e-03   -1.9147e-02    1.2107e-02
  168.0    6.3460e-03    6.3857e-03   -6.2112e-03    1.1047e-02
  171.0    6.4061e-03    6.3857e-03    3.1991e-03    2.0907e-02
  174.0    6.3587e-03    6.3857e-03   -4.2185e-03    4.0032e-02
  177.0    6.2893e-03    6.3857e-03   -1.5091e-02    5.1903e-02
  180.0    6.2527e-03    6.3857e-03   -2.0822e-02    6.6655e-02
  183.0    6.2891e-03    6.3857e-03   -1.5113e-02    4.9621e-02
  186.0    6.3587e-03    6.3857e-03   -4.2259e-03    4.4424e-02
  189.0    6.4064e-03    6.3857e-03    3.2550e-03    3.1874e-03
  192.0    6.3467e-03    6.3857e-03   -6.0986e-03    5.5329e-03
  195.0    6.2639e-03    6.3857e-03   -1.9072e-02   -1.3050e-02
  198.0    6.0343e-03    6.3857e-03   -5.5025e-02   -3.5530e-03
  201.0    5.8311e-03    6.3857e-03   -8.6847e-02   -3.3395e-02
  204.0    5.6602e-03    6.3857e-03   -1.1360e-01   -5.9305e-02
  207.0    5.6192e-03    6.3857e-03   -1.2002e-01   -8.9953e-02
  210.0    5.6158e-03    6.3857e-03   -1.2056e-01   -5.4632e-02
  213.0    5.8217e-03    6.3857e-03   -8.8321e-02   -4.5909e-02
  216.0    6.1504e-03    6.3857e-03   -3.6844e-02   -1.0786e-02
  219.0    6.5453e-03    6.3857e-03    2.4996e-02   -5.8877e-03
  222.0    6.9214e-03    6.3857e-03    8.3902e-02    7.6230e-02
  225.0    7.1390e-03    6.3857e-03    1.1797e-01    8.7268e-02
  228.0    7.1699e-03    6.3857e-03    1.2281e-01    4.8655e-02
  231.0    7.1151e-03    6.3857e-03    1.1424e-01   -6.3132e-02
   4    41  13.63   27.0    1.0    0.0   ----------------------------
  111.0    7.8261e-03    7.1138e-03    1.0013e-01    2.4692e-02
  114.0    7.5960e-03    7.1138e-03    6.7787e-02   -1.9055e-03
  117.0    7.4224e-03    7.1138e-03    4.3376e-02    2.6585e-03
  120.0    7.3743e-03    7.1138e-03    3.6614e-02   -2.3271e-03
  123.0    7.4229e-03    7.1138e-03    4.3449e-02    1.8172e-02
  126.0    7.5969e-03    7.1138e-03    6.7904e-02   -1.2133e-02
  129.0    7.8246e-03    7.1138e-03    9.9915e-02   -1.4493e-03
  132.0    7.9627e-03    7.1138e-03    1.1934e-01   -4.7537e-03
  135.0    8.1030e-03    7.1138e-03    1.3905e-01    1.7658e-02
  138.0    7.9589e-03    7.1138e-03    1.1879e-01    1.9383e-03
  141.0    7.5545e-03    7.1138e-03    6.1941e-02   -2.0774e-02
  144.0    6.9181e-03    7.1138e-03   -2.7511e-02   -1.8127e-02
  147.0    6.2433e-03    7.1138e-03   -1.2237e-01   -3.3409e-02
  150.0    5.7927e-03    7.1138e-03   -1.8572e-01   -3.8623e-02
  153.0    5.7401e-03    7.1138e-03   -1.9311e-01   -8.6046e-02
  156.0    5.9239e-03    7.1138e-03   -1.6727e-01   -6.4417e-02
  159.0    6.2901e-03    7.1138e-03   -1.1580e-01   -2.8085e-03
  162.0    6.6701e-03    7.1138e-03   -6.2374e-02    5.7834e-02
  165.0    6.9598e-03    7.1138e-03   -2.1653e-02    7.5508e-02
  168.0    7.1473e-03    7.1138e-03    4.7082e-03    7.6232e-02
  171.0    7.3213e-03    7.1138e-03    2.9171e-02    4.3822e-02
  174.0    7.4373e-03    7.1138e-03    4.5467e-02    3.0243e-02
  177.0    7.5687e-03    7.1138e-03    6.3937e-02   -2.2376e-02
  180.0    7.5911e-03    7.1138e-03    6.7094e-02   -2.2643e-02
  183.0    7.5683e-03    7.1138e-03    6.3890e-02    5.3222e-03
  186.0    7.4368e-03    7.1138e-03    4.5407e-02    6.6250e-03
  189.0    7.3229e-03    7.1138e-03    2.9388e-02    4.4753e-02
  192.0    7.1473e-03    7.1138e-03    4.7065e-03    2.9540e-02
  195.0    6.9598e-03    7.1138e-03   -2.1648e-02    3.9787e-02
  198.0    6.6700e-03    7.1138e-03   -6.2392e-02    2.5561e-02
  201.0    6.2899e-03    7.1138e-03   -1.1583e-01   -1.4008e-02
  204.0    5.9240e-03    7.1138e-03   -1.6725e-01   -4.4771e-03
  207.0    5.7407e-03    7.1138e-03   -1.9302e-01   -5.3857e-02
  210.0    5.7937e-03    7.1138e-03   -1.8557e-01   -7.3017e-02
  213.0    6.2445e-03    7.1138e-03   -1.2220e-01   -8.9817e-02
  216.0    6.9188e-03    7.1138e-03   -2.7409e-02   -5.8950e-02
  219.0    7.5546e-03    7.1138e-03    6.1955e-02    4.3706e-03
  222.0    7.9588e-03    7.1138e-03    1.1878e-01    1.5420e-02
  225.0    8.1029e-03    7.1138e-03    1.3904e-01    2.7836e-02
  228.0    7.9628e-03    7.1138e-03    1.1934e-01    2.4525e-02
  231.0    7.8246e-03    7.1138e-03    9.9918e-02    5.3769e-02
   5    41  13.63   30.0    1.0    0.0   ----------------------------
  111.0    8.1610e-03    7.7607e-03    5.1572e-02   -2.5039e-02
  114.0    7.6531e-03    7.7607e-03   -1.3868e-02   -3.7031e-03
