   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Ga2O3(100)
 calculated by Yosef (UFJ-PPGCAS) on Aug  6, 2026

   initial angular momentum (li) = 0   msorder=  6   raorder= 4
   photon polarization angle (polar,azimuth) =(   0.0   0.0 ) (deg)

   radius, depth and lattice constant=  12.0,  20.0 and   3.04 angstrom
   cluster size= 316 atoms and spacings=  1.43  1.82  1.70  1.55 angs
   inner potential=  0.0 V  debye and sample temperature= 105, 300 K
   number of valence electrons=  24     bandgap energy=   4.70 eV
   density of bulk=   5.88 g/cm3     molecular weight= 187.44 amu
   effective weight for kind 1-3 =   55.8   69.7   16.0 amu
   half aperture angle=    3.0 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    20  2400    1   20  120 2400  ncurve npoint nk ntheta nphi nangle
   1   120  14.31   12.0    1.0    0.0   ----------------------------
    2.5    2.7599e+00    2.7325e+00    1.0033e-02   -2.6072e-02
    5.5    2.7578e+00    2.7325e+00    9.2647e-03   -6.9412e-02
    8.5    2.7318e+00    2.7325e+00   -2.5427e-04   -5.8235e-03
   11.5    2.7250e+00    2.7325e+00   -2.7404e-03   -5.1093e-02
   14.5    2.7038e+00    2.7325e+00   -1.0515e-02    5.2910e-03
   17.5    2.7059e+00    2.7325e+00   -9.7196e-03   -2.1060e-02
   20.5    2.7041e+00    2.7325e+00   -1.0410e-02   -2.9163e-03
   23.5    2.7329e+00    2.7325e+00    1.3685e-04    3.4551e-02
   26.5    2.7161e+00    2.7325e+00   -6.0211e-03    4.0686e-02
   29.5    2.7597e+00    2.7325e+00    9.9587e-03    1.2766e-02
   32.5    2.7800e+00    2.7325e+00    1.7369e-02    4.3460e-02
   35.5    2.8223e+00    2.7325e+00    3.2878e-02    4.5645e-02
   38.5    2.8487e+00    2.7325e+00    4.2513e-02    8.6609e-02
   41.5    2.8695e+00    2.7325e+00    5.0123e-02    3.8164e-03
   44.5    2.8780e+00    2.7325e+00    5.3240e-02    8.9904e-02
   47.5    2.8780e+00    2.7325e+00    5.3230e-02    2.5472e-02
   50.5    2.8709e+00    2.7325e+00    5.0640e-02    2.6058e-02
   53.5    2.8593e+00    2.7325e+00    4.6398e-02    2.6541e-02
   56.5    2.8487e+00    2.7325e+00    4.2508e-02   -3.8696e-02
   59.5    2.8151e+00    2.7325e+00    3.0232e-02    3.4664e-02
   62.5    2.7944e+00    2.7325e+00    2.2666e-02   -2.2985e-02
   65.5    2.7732e+00    2.7325e+00    1.4884e-02   -2.1568e-02
   68.5    2.7474e+00    2.7325e+00    5.4663e-03    1.1815e-02
   71.5    2.7065e+00    2.7325e+00   -9.5168e-03    1.7354e-02
   74.5    2.6407e+00    2.7325e+00   -3.3589e-02   -6.3473e-02
   77.5    2.5819e+00    2.7325e+00   -5.5129e-02    3.4109e-02
   80.5    2.5290e+00    2.7325e+00   -7.4468e-02   -1.4482e-02
   83.5    2.4576e+00    2.7325e+00   -1.0059e-01   -7.2249e-02
   86.5    2.4785e+00    2.7325e+00   -9.2972e-02   -6.2121e-02
   89.5    2.4525e+00    2.7325e+00   -1.0247e-01   -7.2666e-02
   92.5    2.4120e+00    2.7325e+00   -1.1730e-01   -2.6072e-02
   95.5    2.4314e+00    2.7325e+00   -1.1020e-01   -6.9412e-02
   98.5    2.4348e+00    2.7325e+00   -1.0894e-01   -5.8236e-03
  101.5    2.5075e+00    2.7325e+00   -8.2351e-02   -5.1093e-02
  104.5    2.5598e+00    2.7325e+00   -6.3211e-02    5.2910e-03
  107.5    2.6218e+00    2.7325e+00   -4.0521e-02   -2.1060e-02
  110.5    2.7027e+00    2.7325e+00   -1.0894e-02   -2.9163e-03
  113.5    2.7857e+00    2.7325e+00    1.9484e-02    3.4551e-02
  116.5    2.8822e+00    2.7325e+00    5.4765e-02    4.0686e-02
  119.5    2.9752e+00    2.7325e+00    8.8830e-02    1.2766e-02
  122.5    3.0654e+00    2.7325e+00    1.2183e-01    4.3460e-02
  125.5    3.1447e+00    2.7325e+00    1.5085e-01    4.5645e-02
  128.5    3.2147e+00    2.7325e+00    1.7647e-01    8.6609e-02
  131.5    3.2678e+00    2.7325e+00    1.9588e-01    3.8164e-03
  134.5    3.2642e+00    2.7325e+00    1.9458e-01    8.9904e-02
  137.5    3.2273e+00    2.7325e+00    1.8107e-01    2.5472e-02
  140.5    3.1775e+00    2.7325e+00    1.6284e-01    2.6057e-02
  143.5    3.1191e+00    2.7325e+00    1.4147e-01    2.6541e-02
  146.5    3.0567e+00    2.7325e+00    1.1866e-01   -3.8696e-02
  149.5    2.9390e+00    2.7325e+00    7.5559e-02    3.4664e-02
  152.5    2.8426e+00    2.7325e+00    4.0277e-02   -2.2985e-02
