    711    12   102     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Ag              Silver phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
   16.0000   1.2720  -0.4388  -2.1470   2.7030   1.7957   1.2517   0.8995   0.6572   0.4865   0.3632
   16.0200   1.2687  -0.4417  -2.1488   2.7027   1.7962   1.2525   0.9004   0.6580   0.4873   0.3639
   16.0400   1.2653  -0.4445  -2.1506   2.7024   1.7967   1.2532   0.9012   0.6589   0.4881   0.3646
   16.0600   1.2620  -0.4474  -2.1523   2.7020   1.7971   1.2540   0.9021   0.6597   0.4889   0.3654
   16.0800   1.2586  -0.4502  -2.1541   2.7017   1.7976   1.2547   0.9030   0.6606   0.4897   0.3661
   16.1000   1.2553  -0.4531  -2.1559   2.7014   1.7981   1.2555   0.9039   0.6614   0.4905   0.3668
   16.1200   1.2520  -0.4559  -2.1576   2.7011   1.7985   1.2562   0.9048   0.6623   0.4913   0.3675
   16.1400   1.2486  -0.4588  -2.1594   2.7008   1.7990   1.2569   0.9056   0.6631   0.4921   0.3682
   16.1600   1.2453  -0.4616  -2.1612   2.7005   1.7994   1.2577   0.9065   0.6640   0.4929   0.3689
   16.1800   1.2420  -0.4644  -2.1629   2.7002   1.7999   1.2584   0.9074   0.6648   0.4937   0.3696
   16.2000   1.2387  -0.4673  -2.1647   2.6999   1.8003   1.2591   0.9082   0.6657   0.4945   0.3703
   16.2200   1.2354  -0.4701  -2.1664   2.6996   1.8008   1.2598   0.9091   0.6665   0.4953   0.3710
   16.2400   1.2321  -0.4729  -2.1682   2.6992   1.8012   1.2606   0.9100   0.6673   0.4961   0.3717
   16.2600   1.2288  -0.4757  -2.1699   2.6989   1.8017   1.2613   0.9108   0.6682   0.4969   0.3724
   16.2800   1.2255  -0.4785  -2.1717   2.6986   1.8021   1.2620   0.9117   0.6690   0.4977   0.3731
   16.3000   1.2222  -0.4814  -2.1734   2.6983   1.8025   1.2627   0.9125   0.6699   0.4985   0.3738
   16.3200   1.2189  -0.4842  -2.1751   2.6980   1.8030   1.2634   0.9134   0.6707   0.4993   0.3746
   16.3400   1.2156  -0.4870  -2.1769   2.6977   1.8034   1.2642   0.9142   0.6715   0.5001   0.3753
   16.3600   1.2123  -0.4898  -2.1786   2.6973   1.8038   1.2649   0.9150   0.6724   0.5009   0.3760
   16.3800   1.2090  -0.4926  -2.1804   2.6970   1.8042   1.2656   0.9159   0.6732   0.5016   0.3767
   16.4000   1.2058  -0.4954  -2.1821   2.6967   1.8046   1.2663   0.9167   0.6740   0.5024   0.3774
   16.4200   1.2025  -0.4981  -2.1838   2.6964   1.8051   1.2670   0.9175   0.6749   0.5032   0.3781
   16.4400   1.1992  -0.5009  -2.1855   2.6960   1.8055   1.2677   0.9184   0.6757   0.5040   0.3788
   16.4600   1.1960  -0.5037  -2.1873   2.6957   1.8059   1.2684   0.9192   0.6765   0.5047   0.3795
   16.4800   1.1927  -0.5065  -2.1890   2.6954   1.8063   1.2691   0.9200   0.6773   0.5055   0.3802
   16.5000   1.1894  -0.5093  -2.1907   2.6951   1.8067   1.2698   0.9208   0.6782   0.5063   0.3809
   16.5200   1.1862  -0.5120  -2.1924   2.6947   1.8071   1.2705   0.9216   0.6790   0.5070   0.3816
   16.5400   1.1829  -0.5148  -2.1941   2.6944   1.8075   1.2712   0.9225   0.6798   0.5078   0.3823
   16.5600   1.1797  -0.5176  -2.1958   2.6941   1.8079   1.2719   0.9233   0.6806   0.5086   0.3830
   16.5800   1.1765  -0.5203  -2.1975   2.6938   1.8083   1.2726   0.9241   0.6814   0.5093   0.3837
   16.6000   1.1730  -0.5233  -2.1995   2.6932   1.8086   1.2731   0.9248   0.6821   0.5100   0.3842
   16.6200   1.1697  -0.5261  -2.2012   2.6929   1.8090   1.2738   0.9256   0.6829   0.5108   0.3849
   16.6400   1.1665  -0.5288  -2.2029   2.6926   1.8094   1.2745   0.9264   0.6837   0.5115   0.3856
   16.6600   1.1633  -0.5316  -2.2046   2.6922   1.8098   1.2752   0.9272   0.6845   0.5123   0.3863
   16.6800   1.1601  -0.5343  -2.2063   2.6919   1.8102   1.2759   0.9280   0.6853   0.5131   0.3870
   16.7000   1.1569  -0.5371  -2.2080   2.6916   1.8106   1.2765   0.9288   0.6861   0.5138   0.3877
   16.7200   1.1536  -0.5398  -2.2097   2.6912   1.8109   1.2772   0.9295   0.6869   0.5146   0.3884
   16.7400   1.1504  -0.5425  -2.2114   2.6909   1.8113   1.2779   0.9303   0.6877   0.5153   0.3891
   16.7600   1.1472  -0.5453  -2.2131   2.6906   1.8117   1.2786   0.9311   0.6886   0.5160   0.3898
   16.7800   1.1440  -0.5480  -2.2148   2.6902   1.8120   1.2792   0.9319   0.6894   0.5168   0.3905
   16.8000   1.1408  -0.5507  -2.2165   2.6899   1.8124   1.2799   0.9327   0.6902   0.5175   0.3912
   16.8200   1.1376  -0.5534  -2.2181   2.6895   1.8128   1.2806   0.9334   0.6910   0.5183   0.3919
   16.8400   1.1344  -0.5562  -2.2198   2.6892   1.8131   1.2813   0.9342   0.6918   0.5190   0.3926
   16.8600   1.1313  -0.5589  -2.2215   2.6889   1.8135   1.2819   0.9350   0.6926   0.5197   0.3932
   16.8800   1.1281  -0.5616  -2.2232   2.6885   1.8138   1.2826   0.9357   0.6934   0.5205   0.3939
   16.9000   1.1249  -0.5643  -2.2249   2.6882   1.8142   1.2833   0.9365   0.6942   0.5212   0.3946
   16.9200   1.1217  -0.5670  -2.2265   2.6878   1.8145   1.2839   0.9372   0.6950   0.5219   0.3953
   16.9400   1.1185  -0.5697  -2.2282   2.6875   1.8149   1.2846   0.9380   0.6958   0.5227   0.3960
   16.9600   1.1154  -0.5724  -2.2299   2.6871   1.8152   1.2852   0.9388   0.6966   0.5234   0.3967
   16.9800   1.1122  -0.5751  -2.2316   2.6868   1.8156   1.2859   0.9395   0.6974   0.5241   0.3974
   17.0000   1.1090  -0.5778  -2.2332   2.6864   1.8159   1.2866   0.9402   0.6982   0.5248   0.3981
   17.0200   1.1059  -0.5805  -2.2349   2.6861   1.8162   1.2872   0.9410   0.6990   0.5256   0.3988
   17.0400   1.1027  -0.5832  -2.2366   2.6857   1.8166   1.2879   0.9417   0.6997   0.5263   0.3995
   17.0600   1.0995  -0.5859  -2.2382   2.6853   1.8169   1.2885   0.9425   0.7005   0.5270   0.4002
   17.0800   1.0964  -0.5886  -2.2399   2.6850   1.8172   1.2892   0.9432   0.7013   0.5277   0.4008
   17.1000   1.0932  -0.5912  -2.2416   2.6846   1.8176   1.2898   0.9439   0.7021   0.5284   0.4015
   17.1200   1.0901  -0.5939  -2.2432   2.6843   1.8179   1.2905   0.9447   0.7029   0.5292   0.4022
   17.1400   1.0869  -0.5966  -2.2449   2.6839   1.8182   1.2911   0.9454   0.7037   0.5299   0.4029
   17.1600   1.0838  -0.5993  -2.2465   2.6835   1.8185   1.2918   0.9461   0.7045   0.5306   0.4036
   17.1800   1.0807  -0.6019  -2.2482   2.6832   1.8189   1.2924   0.9468   0.7053   0.5313   0.4042
   17.2000   1.0775  -0.6046  -2.2498   2.6828   1.8192   1.2930   0.9475   0.7060   0.5320   0.4049
   17.2200   1.0744  -0.6073  -2.2515   2.6824   1.8195   1.2937   0.9483   0.7068   0.5327   0.4056
   17.2400   1.0713  -0.6099  -2.2532   2.6821   1.8198   1.2943   0.9490   0.7076   0.5334   0.4063
   17.2600   1.0681  -0.6126  -2.2548   2.6817   1.8201   1.2949   0.9497   0.7084   0.5341   0.4069
   17.2800   1.0650  -0.6153  -2.2565   2.6813   1.8205   1.2956   0.9504   0.7091   0.5348   0.4076
   17.3000   1.0619  -0.6179  -2.2581   2.6809   1.8208   1.2962   0.9511   0.7099   0.5356   0.4083
   17.3200   1.0588  -0.6206  -2.2598   2.6806   1.8211   1.2968   0.9518   0.7107   0.5363   0.4090
   17.3400   1.0556  -0.6232  -2.2614   2.6802   1.8214   1.2975   0.9525   0.7114   0.5370   0.4096
   17.3600   1.0525  -0.6259  -2.2630   2.6798   1.8217   1.2981   0.9532   0.7122   0.5377   0.4103
   17.3800   1.0494  -0.6285  -2.2647   2.6794   1.8220   1.2987   0.9539   0.7130   0.5384   0.4109
   17.4000   1.0463  -0.6312  -2.2663   2.6790   1.8223   1.2993   0.9546   0.7137   0.5391   0.4116
   17.4200   1.0432  -0.6338  -2.2680   2.6786   1.8226   1.2999   0.9553   0.7145   0.5398   0.4123
   17.4400   1.0401  -0.6364  -2.2696   2.6783   1.8229   1.3005   0.9560   0.7153   0.5405   0.4129
   17.4600   1.0370  -0.6391  -2.2713   2.6779   1.8232   1.3011   0.9567   0.7160   0.5412   0.4136
   17.4800   1.0339  -0.6417  -2.2729   2.6775   1.8236   1.3018   0.9574   0.7168   0.5419   0.4142
   17.5000   1.0308  -0.6444  -2.2745   2.6771   1.8239   1.3024   0.9580   0.7175   0.5426   0.4149
   17.5200   1.0277  -0.6470  -2.2762   2.6767   1.8242   1.3030   0.9587   0.7183   0.5433   0.4155
   17.5400   1.0246  -0.6496  -2.2778   2.6763   1.8245   1.3036   0.9594   0.7190   0.5440   0.4162
   17.5600   1.0215  -0.6522  -2.2795   2.6759   1.8248   1.3042   0.9601   0.7198   0.5447   0.4168
   17.5800   1.0185  -0.6549  -2.2811   2.6755   1.8251   1.3047   0.9608   0.7205   0.5454   0.4175
   17.6000   1.0154  -0.6575  -2.2827   2.6751   1.8254   1.3053   0.9615   0.7212   0.5461   0.4181
   17.6200   1.0123  -0.6601  -2.2844   2.6748   1.8257   1.3059   0.9621   0.7220   0.5468   0.4188
   17.6400   1.0092  -0.6627  -2.2860   2.6744   1.8260   1.3065   0.9628   0.7227   0.5475   0.4194
