    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Ag              Silver phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)  p(l=18)  p(l=19)
        20              lnum
    5.0000  -1.8549   2.2872  -0.4466   2.4915   0.8205   0.4745   0.1944   0.0524   0.0106   0.0017   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.0500  -1.8778   2.2701  -0.4552   2.5040   0.8274   0.4846   0.2062   0.0573   0.0120   0.0020   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.1000  -1.9009   2.2529  -0.4635   2.5155   0.8347   0.4939   0.2181   0.0626   0.0134   0.0023   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.1500  -1.9240   2.2355  -0.4715   2.5263   0.8424   0.5025   0.2301   0.0682   0.0150   0.0026   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.2000  -1.9472   2.2180  -0.4792   2.5364   0.8506   0.5103   0.2421   0.0741   0.0167   0.0030   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.2500  -1.9705   2.2002  -0.4868   2.5460   0.8593   0.5175   0.2540   0.0804   0.0186   0.0034   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.3000  -1.9939   2.1823  -0.4942   2.5552   0.8686   0.5240   0.2658   0.0870   0.0206   0.0038   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.3500  -2.0172   2.1643  -0.5015   2.5642   0.8785   0.5300   0.2775   0.0939   0.0229   0.0044   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.4000  -2.0406   2.1460  -0.5087   2.5730   0.8890   0.5353   0.2890   0.1012   0.0253   0.0049   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.4500  -2.0640   2.1276  -0.5160   2.5817   0.9001   0.5402   0.3001   0.1087   0.0279   0.0056   0.0009   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.5000  -2.0873   2.1090  -0.5233   2.5904   0.9119   0.5446   0.3110   0.1165   0.0307   0.0063   0.0010   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.5500  -2.1106   2.0903  -0.5307   2.5993   0.9242   0.5486   0.3215   0.1246   0.0338   0.0071   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.6000  -2.1338   2.0715  -0.5381   2.6082   0.9372   0.5522   0.3315   0.1329   0.0370   0.0079   0.0014   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.6500  -2.1570   2.0525  -0.5458   2.6174   0.9506   0.5556   0.3411   0.1415   0.0405   0.0089   0.0016   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.7000  -2.1800   2.0335  -0.5536   2.6267   0.9646   0.5587   0.3503   0.1503   0.0442   0.0099   0.0018   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.7500  -2.2029   2.0143  -0.5617   2.6363   0.9789   0.5617   0.3589   0.1592   0.0482   0.0111   0.0020   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.8000  -2.2257   1.9951  -0.5699   2.6461   0.9935   0.5646   0.3670   0.1683   0.0524   0.0123   0.0023   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.8500  -2.2483   1.9759  -0.5785   2.6560   1.0084   0.5675   0.3746   0.1774   0.0568   0.0137   0.0026   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.9000  -2.2707   1.9567  -0.5873   2.6662   1.0234   0.5703   0.3816   0.1866   0.0615   0.0152   0.0030   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    5.9500  -2.2929   1.9375  -0.5963   2.6765   1.0384   0.5733   0.3881   0.1959   0.0665   0.0168   0.0034   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.0000  -2.3149   1.9183  -0.6057   2.6868   1.0534   0.5763   0.3941   0.2051   0.0717   0.0186   0.0038   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.0500  -2.3367   1.8992  -0.6153   2.6972   1.0683   0.5795   0.3996   0.2142   0.0772   0.0205   0.0043   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.1000  -2.3582   1.8801  -0.6252   2.7076   1.0829   0.5830   0.4046   0.2233   0.0829   0.0225   0.0048   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.1500  -2.3794   1.8612  -0.6353   2.7179   1.0972   0.5867   0.4091   0.2322   0.0888   0.0247   0.0054   0.0010   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.2000  -2.4004   1.8424  -0.6457   2.7280   1.1111   0.5907   0.4132   0.2410   0.0949   0.0271   0.0060   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.2500  -2.4210   1.8237  -0.6563   2.7380   1.1246   0.5950   0.4168   0.2495   0.1013   0.0296   0.0068   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.3000  -2.4414   1.8052  -0.6671   2.7476   1.1376   0.5997   0.4201   0.2578   0.1079   0.0323   0.0075   0.0014   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.3500  -2.4615   1.7869  -0.6781   2.7569   1.1501   0.6047   0.4230   0.2658   0.1146   0.0352   0.0084   0.0016   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.4000  -2.4812   1.7688  -0.6893   2.7657   1.1620   0.6102   0.4256   0.2734   0.1215   0.0383   0.0093   0.0018   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.4500  -2.5007   1.7510  -0.7006   2.7742   1.1734   0.6161   0.4279   0.2808   0.1286   0.0416   0.0103   0.0021   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.5000  -2.5198   1.7333  -0.7120   2.7821   1.1842   0.6223   0.4300   0.2878   0.1358   0.0450   0.0115   0.0023   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.5500  -2.5387   1.7160  -0.7235   2.7895   1.1945   0.6290   0.4319   0.2944   0.1430   0.0487   0.0127   0.0026   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.6000  -2.5572   1.6989  -0.7350   2.7964   1.2042   0.6361   0.4337   0.3007   0.1504   0.0525   0.0140   0.0030   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.6500  -2.5754   1.6820  -0.7466   2.8027   1.2134   0.6435   0.4353   0.3065   0.1578   0.0566   0.0154   0.0033   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    6.7000  -2.5934   1.6654  -0.7581   2.8085   1.2222   0.6513   0.4369   0.3119   0.1652   0.0608   0.0169   0.0037   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
