    711    12    82     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Ga              Gallium phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)  p(l=18)  p(l=19)
        20              lnum
    4.0000  -0.3045  -3.0306   0.0234   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.0500  -0.3091  -3.0271   0.0249   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.1000  -0.3138  -3.0236   0.0265   0.0005   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.1500  -0.3185  -3.0200   0.0281   0.0005   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.2000  -0.3233  -3.0164   0.0299   0.0005   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.2500  -0.3280  -3.0128   0.0317   0.0006   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.3000  -0.3328  -3.0091   0.0336   0.0006   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.3500  -0.3376  -3.0055   0.0357   0.0007   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.4000  -0.3424  -3.0018   0.0378   0.0007   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.4500  -0.3473  -2.9980   0.0400   0.0008   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.5000  -0.3522  -2.9943   0.0423   0.0009   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.5500  -0.3571  -2.9906   0.0447   0.0009   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.6000  -0.3621  -2.9868   0.0473   0.0010   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.6500  -0.3670  -2.9831   0.0499   0.0011   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.7000  -0.3720  -2.9793   0.0527   0.0012   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.7500  -0.3771  -2.9755   0.0556   0.0012   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.8000  -0.3821  -2.9718   0.0586   0.0013   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.8500  -0.3872  -2.9680   0.0618   0.0014   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.9000  -0.3923  -2.9643   0.0651   0.0015   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    4.9500  -0.3974  -2.9605   0.0685   0.0016   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.0000  -0.4026  -2.9568   0.0721   0.0017   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.0500  -0.4078  -2.9531   0.0759   0.0019   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.1000  -0.4130  -2.9494   0.0798   0.0020   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.1500  -0.4182  -2.9457   0.0838   0.0021   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.2000  -0.4235  -2.9421   0.0881   0.0022   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.2500  -0.4288  -2.9385   0.0925   0.0024   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.3000  -0.4341  -2.9349   0.0971   0.0025   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.3500  -0.4394  -2.9314   0.1019   0.0027   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.4000  -0.4448  -2.9278   0.1068   0.0029   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.4500  -0.4502  -2.9244   0.1120   0.0031   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.5000  -0.4556  -2.9210   0.1174   0.0032   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.5500  -0.4610  -2.9176   0.1230   0.0034   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.6000  -0.4665  -2.9143   0.1288   0.0036   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.6500  -0.4720  -2.9110   0.1348   0.0039   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.7000  -0.4775  -2.9078   0.1410   0.0041   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.7500  -0.4830  -2.9046   0.1475   0.0043   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.8000  -0.4886  -2.9015   0.1543   0.0046   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.8500  -0.4942  -2.8985   0.1612   0.0048   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.9000  -0.4998  -2.8955   0.1685   0.0051   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    5.9500  -0.5054  -2.8926   0.1760   0.0054   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.0000  -0.5111  -2.8897   0.1837   0.0057   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.0500  -0.5168  -2.8869   0.1917   0.0060   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.1000  -0.5225  -2.8842   0.2001   0.0063   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.1500  -0.5282  -2.8816   0.2087   0.0067   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.2000  -0.5340  -2.8791   0.2175   0.0070   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.2500  -0.5397  -2.8766   0.2267   0.0074   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.3000  -0.5455  -2.8742   0.2362   0.0078   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.3500  -0.5513  -2.8719   0.2460   0.0082   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.4000  -0.5572  -2.8696   0.2561   0.0086   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.4500  -0.5630  -2.8674   0.2666   0.0090   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.5000  -0.5689  -2.8653   0.2773   0.0095   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.5500  -0.5748  -2.8634   0.2884   0.0100   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.6000  -0.5807  -2.8614   0.2998   0.0104   0.0005   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.6500  -0.5867  -2.8596   0.3115   0.0110   0.0005   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.7000  -0.5926  -2.8579   0.3236   0.0115   0.0005   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.7500  -0.5986  -2.8563   0.3360   0.0120   0.0006   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.8000  -0.6046  -2.8547   0.3487   0.0126   0.0006   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.8500  -0.6106  -2.8532   0.3618   0.0132   0.0006   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.9000  -0.6167  -2.8519   0.3752   0.0138   0.0007   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    6.9500  -0.6227  -2.8506   0.3889   0.0144   0.0007   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.0000  -0.6288  -2.8494   0.4029   0.0151   0.0008   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.0500  -0.6349  -2.8483   0.4173   0.0158   0.0008   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.1000  -0.6410  -2.8473   0.4320   0.0165   0.0009   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.1500  -0.6472  -2.8463   0.4470   0.0172   0.0009   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.2000  -0.6533  -2.8455   0.4622   0.0180   0.0010   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.2500  -0.6595  -2.8448   0.4778   0.0188   0.0010   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.3000  -0.6657  -2.8441   0.4936   0.0196   0.0011   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.3500  -0.6719  -2.8435   0.5098   0.0204   0.0011   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.4000  -0.6781  -2.8431   0.5261   0.0213   0.0012   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.4500  -0.6843  -2.8427   0.5427   0.0222   0.0013   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.5000  -0.6906  -2.8424   0.5595   0.0231   0.0013   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.5500  -0.6968  -2.8422   0.5766   0.0241   0.0014   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.6000  -0.7031  -2.8421   0.5938   0.0251   0.0015   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.6500  -0.7094  -2.8420   0.6112   0.0261   0.0016   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.7000  -0.7157  -2.8421   0.6287   0.0272   0.0017   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.7500  -0.7221  -2.8422   0.6463   0.0283   0.0017   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.8000  -0.7284  -2.8424   0.6641   0.0294   0.0018   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.8500  -0.7348  -2.8428   0.6819   0.0306   0.0019   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.9000  -0.7411  -2.8431   0.6998   0.0318   0.0020   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    7.9500  -0.7475  -2.8436   0.7177   0.0330   0.0021   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
    8.0000  -0.7539  -2.8442   0.7357   0.0343   0.0022   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   3.1416   0.0000   0.0000   3.1416
