    711    12   202     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         O              Oxygen phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)  p(l=10)  p(l=11)  p(l=12)  p(l=13)  p(l=14)  p(l=15)  p(l=16)  p(l=17)
        18              lnum
    8.0000   3.0061   1.6593   0.8616   0.4447   0.2251   0.0883   0.0251   0.0054   0.0009   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.0500   2.9976   1.6559   0.8634   0.4470   0.2284   0.0910   0.0263   0.0057   0.0010   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.1000   2.9891   1.6525   0.8651   0.4493   0.2315   0.0938   0.0276   0.0061   0.0010   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.1500   2.9807   1.6492   0.8668   0.4515   0.2346   0.0966   0.0289   0.0065   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.2000   2.9724   1.6459   0.8684   0.4537   0.2376   0.0993   0.0302   0.0069   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.2500   2.9641   1.6427   0.8699   0.4560   0.2406   0.1021   0.0316   0.0073   0.0013   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.3000   2.9560   1.6395   0.8714   0.4582   0.2434   0.1049   0.0330   0.0077   0.0014   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.3500   2.9478   1.6364   0.8728   0.4603   0.2463   0.1077   0.0344   0.0082   0.0015   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.4000   2.9398   1.6333   0.8741   0.4625   0.2490   0.1105   0.0359   0.0087   0.0016   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.4500   2.9318   1.6303   0.8754   0.4647   0.2516   0.1133   0.0374   0.0092   0.0017   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.5000   2.9239   1.6273   0.8766   0.4668   0.2542   0.1161   0.0389   0.0097   0.0019   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.5500   2.9160   1.6243   0.8778   0.4690   0.2568   0.1189   0.0405   0.0103   0.0020   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.6000   2.9082   1.6214   0.8788   0.4711   0.2592   0.1217   0.0421   0.0108   0.0021   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.6500   2.9005   1.6185   0.8798   0.4733   0.2616   0.1245   0.0438   0.0114   0.0023   0.0004   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.7000   2.8929   1.6157   0.8808   0.4755   0.2640   0.1272   0.0455   0.0121   0.0025   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.7500   2.8853   1.6129   0.8817   0.4776   0.2663   0.1299   0.0472   0.0127   0.0026   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.8000   2.8778   1.6101   0.8825   0.4798   0.2685   0.1326   0.0489   0.0134   0.0028   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.8500   2.8703   1.6074   0.8832   0.4819   0.2706   0.1353   0.0507   0.0141   0.0030   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.9000   2.8629   1.6047   0.8839   0.4841   0.2728   0.1380   0.0525   0.0148   0.0032   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    8.9500   2.8556   1.6020   0.8846   0.4862   0.2748   0.1406   0.0543   0.0156   0.0034   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.0000   2.8483   1.5993   0.8851   0.4884   0.2769   0.1432   0.0562   0.0163   0.0036   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.0500   2.8411   1.5967   0.8857   0.4905   0.2788   0.1458   0.0581   0.0171   0.0039   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.1000   2.8340   1.5940   0.8861   0.4927   0.2808   0.1483   0.0600   0.0180   0.0041   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.1500   2.8269   1.5914   0.8865   0.4948   0.2827   0.1508   0.0619   0.0188   0.0044   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.2000   2.8199   1.5888   0.8869   0.4970   0.2845   0.1532   0.0639   0.0197   0.0046   0.0009   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.2500   2.8129   1.5862   0.8872   0.4991   0.2863   0.1556   0.0658   0.0206   0.0049   0.0009   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.3000   2.8060   1.5837   0.8874   0.5012   0.2881   0.1580   0.0678   0.0216   0.0052   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.3500   2.7991   1.5811   0.8877   0.5034   0.2899   0.1603   0.0698   0.0225   0.0055   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.4000   2.7923   1.5786   0.8878   0.5055   0.2916   0.1626   0.0718   0.0235   0.0059   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.4500   2.7855   1.5760   0.8880   0.5076   0.2934   0.1649   0.0738   0.0245   0.0062   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.5000   2.7788   1.5735   0.8881   0.5097   0.2951   0.1671   0.0759   0.0256   0.0066   0.0013   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.5500   2.7722   1.5709   0.8882   0.5117   0.2967   0.1692   0.0779   0.0267   0.0069   0.0014   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.6000   2.7655   1.5684   0.8882   0.5138   0.2984   0.1713   0.0799   0.0278   0.0073   0.0015   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.6500   2.7590   1.5658   0.8882   0.5158   0.3001   0.1734   0.0820   0.0289   0.0077   0.0016   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.7000   2.7524   1.5632   0.8882   0.5178   0.3017   0.1754   0.0840   0.0301   0.0081   0.0017   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.7500   2.7459   1.5607   0.8882   0.5198   0.3033   0.1774   0.0861   0.0313   0.0086   0.0018   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.8000   2.7395   1.5581   0.8882   0.5218   0.3050   0.1794   0.0881   0.0325   0.0090   0.0020   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.8500   2.7331   1.5555   0.8881   0.5237   0.3066   0.1812   0.0902   0.0337   0.0095   0.0021   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.9000   2.7267   1.5529   0.8880   0.5256   0.3082   0.1831   0.0922   0.0350   0.0100   0.0022   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
    9.9500   2.7203   1.5504   0.8879   0.5274   0.3098   0.1849   0.0942   0.0362   0.0105   0.0024   0.0004   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.0000   2.7140   1.5477   0.8879   0.5293   0.3114   0.1867   0.0962   0.0376   0.0111   0.0025   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.0500   2.7077   1.5451   0.8878   0.5310   0.3131   0.1884   0.0983   0.0389   0.0116   0.0027   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.1000   2.7014   1.5425   0.8877   0.5328   0.3147   0.1901   0.1002   0.0402   0.0122   0.0029   0.0005   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.1500   2.6952   1.5399   0.8876   0.5345   0.3163   0.1917   0.1022   0.0416   0.0128   0.0030   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.2000   2.6890   1.5372   0.8875   0.5362   0.3179   0.1933   0.1042   0.0430   0.0134   0.0032   0.0006   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.2500   2.6828   1.5345   0.8874   0.5378   0.3196   0.1949   0.1061   0.0444   0.0140   0.0034   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.3000   2.6766   1.5319   0.8873   0.5394   0.3212   0.1964   0.1081   0.0459   0.0147   0.0036   0.0007   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.3500   2.6705   1.5292   0.8872   0.5409   0.3229   0.1979   0.1100   0.0473   0.0153   0.0039   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.4000   2.6643   1.5265   0.8871   0.5424   0.3245   0.1994   0.1118   0.0488   0.0160   0.0041   0.0008   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.4500   2.6582   1.5238   0.8870   0.5439   0.3262   0.2008   0.1137   0.0503   0.0168   0.0043   0.0009   0.0001   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.5000   2.6521   1.5211   0.8869   0.5453   0.3279   0.2023   0.1155   0.0518   0.0175   0.0046   0.0009   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.5500   2.6461   1.5184   0.8869   0.5467   0.3295   0.2037   0.1173   0.0533   0.0182   0.0048   0.0010   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.6000   2.6400   1.5156   0.8868   0.5480   0.3312   0.2050   0.1191   0.0548   0.0190   0.0051   0.0011   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.6500   2.6340   1.5129   0.8868   0.5492   0.3329   0.2064   0.1209   0.0563   0.0198   0.0054   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.7000   2.6279   1.5102   0.8868   0.5505   0.3346   0.2077   0.1226   0.0579   0.0206   0.0057   0.0012   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.7500   2.6219   1.5074   0.8868   0.5517   0.3363   0.2090   0.1243   0.0594   0.0215   0.0060   0.0013   0.0002   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.8000   2.6159   1.5047   0.8868   0.5528   0.3380   0.2103   0.1259   0.0610   0.0223   0.0063   0.0014   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
   10.8500   2.6099   1.5019   0.8868   0.5539   0.3397   0.2116   0.1276   0.0625   0.0232   0.0066   0.0015   0.0003   0.0000   0.0000   0.0000   0.0000   0.0000   0.0000
