    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)
         9              lnum
    5.0000   0.9957  -1.0914   2.6870   0.1491   0.0074   0.0004   0.0000   0.0000   0.0000
    5.0500   0.9812  -1.1027   2.6829   0.1596   0.0080   0.0004   0.0000   0.0000   0.0000
    5.1000   0.9669  -1.1138   2.6789   0.1706   0.0087   0.0005   0.0000   0.0000   0.0000
    5.1500   0.9527  -1.1248   2.6751   0.1822   0.0094   0.0005   0.0000   0.0000   0.0000
    5.2000   0.9387  -1.1356   2.6714   0.1946   0.0101   0.0005   0.0000   0.0000   0.0000
    5.2500   0.9248  -1.1463   2.6680   0.2076   0.0109   0.0006   0.0000   0.0000   0.0000
    5.3000   0.9111  -1.1569   2.6647   0.2213   0.0118   0.0007   0.0000   0.0000   0.0000
    5.3500   0.8976  -1.1672   2.6615   0.2357   0.0127   0.0007   0.0000   0.0000   0.0000
    5.4000   0.8842  -1.1775   2.6586   0.2509   0.0137   0.0008   0.0000   0.0000   0.0000
    5.4500   0.8709  -1.1876   2.6558   0.2669   0.0147   0.0009   0.0000   0.0000   0.0000
    5.5000   0.8578  -1.1975   2.6533   0.2836   0.0158   0.0010   0.0000   0.0000   0.0000
    5.5500   0.8449  -1.2073   2.6509   0.3012   0.0170   0.0010   0.0001   0.0000   0.0000
    5.6000   0.8320  -1.2170   2.6487   0.3196   0.0183   0.0011   0.0001   0.0000   0.0000
    5.6500   0.8194  -1.2265   2.6467   0.3388   0.0196   0.0012   0.0001   0.0000   0.0000
    5.7000   0.8068  -1.2358   2.6450   0.3588   0.0210   0.0014   0.0001   0.0000   0.0000
    5.7500   0.7944  -1.2450   2.6434   0.3796   0.0225   0.0015   0.0001   0.0000   0.0000
    5.8000   0.7822  -1.2541   2.6420   0.4013   0.0241   0.0016   0.0001   0.0000   0.0000
    5.8500   0.7700  -1.2630   2.6409   0.4237   0.0257   0.0017   0.0001   0.0000   0.0000
    5.9000   0.7581  -1.2718   2.6400   0.4469   0.0275   0.0019   0.0001   0.0000   0.0000
    5.9500   0.7462  -1.2804   2.6392   0.4708   0.0294   0.0021   0.0001   0.0000   0.0000
    6.0000   0.7344  -1.2889   2.6387   0.4954   0.0314   0.0022   0.0001   0.0000   0.0000
    6.0500   0.7228  -1.2972   2.6384   0.5207   0.0334   0.0024   0.0001   0.0000   0.0000
    6.1000   0.7113  -1.3054   2.6384   0.5465   0.0356   0.0026   0.0002   0.0000   0.0000
    6.1500   0.7000  -1.3135   2.6385   0.5729   0.0379   0.0028   0.0002   0.0000   0.0000
    6.2000   0.6887  -1.3214   2.6389   0.5997   0.0404   0.0030   0.0002   0.0000   0.0000
    6.2500   0.6776  -1.3292   2.6395   0.6269   0.0430   0.0033   0.0002   0.0000   0.0000
    6.3000   0.6665  -1.3369   2.6402   0.6543   0.0457   0.0036   0.0002   0.0000   0.0000
    6.3500   0.6556  -1.3445   2.6412   0.6820   0.0485   0.0038   0.0002   0.0000   0.0000
    6.4000   0.6448  -1.3519   2.6424   0.7097   0.0515   0.0041   0.0003   0.0000   0.0000
    6.4500   0.6340  -1.3592   2.6438   0.7375   0.0546   0.0044   0.0003   0.0000   0.0000
    6.5000   0.6234  -1.3664   2.6454   0.7651   0.0579   0.0048   0.0003   0.0000   0.0000
    6.5500   0.6129  -1.3734   2.6472   0.7926   0.0614   0.0051   0.0004   0.0000   0.0000
    6.6000   0.6024  -1.3804   2.6491   0.8198   0.0650   0.0055   0.0004   0.0000   0.0000
    6.6500   0.5921  -1.3873   2.6513   0.8466   0.0688   0.0059   0.0004   0.0000   0.0000
    6.7000   0.5818  -1.3940   2.6536   0.8730   0.0728   0.0063   0.0005   0.0000   0.0000
    6.7500   0.5716  -1.4007   2.6561   0.8988   0.0770   0.0068   0.0005   0.0000   0.0000
    6.8000   0.5615  -1.4073   2.6587   0.9241   0.0813   0.0073   0.0005   0.0000   0.0000
    6.8500   0.5514  -1.4137   2.6615   0.9487   0.0859   0.0078   0.0006   0.0000   0.0000
    6.9000   0.5415  -1.4201   2.6644   0.9726   0.0906   0.0083   0.0006   0.0000   0.0000
    6.9500   0.5316  -1.4264   2.6675   0.9957   0.0956   0.0089   0.0007   0.0000   0.0000
    7.0000   0.5217  -1.4327   2.6706   1.0181   0.1008   0.0095   0.0008   0.0000   0.0000
    7.0500   0.5119  -1.4388   2.6739   1.0396   0.1062   0.0102   0.0008   0.0001   0.0000
    7.1000   0.5022  -1.4449   2.6773   1.0603   0.1118   0.0108   0.0009   0.0001   0.0000
    7.1500   0.4925  -1.4510   2.6807   1.0802   0.1177   0.0116   0.0010   0.0001   0.0000
    7.2000   0.4829  -1.4569   2.6842   1.0992   0.1238   0.0123   0.0010   0.0001   0.0000
    7.2500   0.4733  -1.4629   2.6878   1.1173   0.1301   0.0131   0.0011   0.0001   0.0000
    7.3000   0.4637  -1.4688   2.6914   1.1346   0.1367   0.0139   0.0012   0.0001   0.0000
    7.3500   0.4542  -1.4746   2.6951   1.1511   0.1435   0.0148   0.0013   0.0001   0.0000
    7.4000   0.4447  -1.4804   2.6987   1.1667   0.1506   0.0158   0.0014   0.0001   0.0000
    7.4500   0.4352  -1.4862   2.7024   1.1815   0.1579   0.0168   0.0015   0.0001   0.0000
    7.5000   0.4258  -1.4919   2.7061   1.1956   0.1656   0.0178   0.0016   0.0001   0.0000
    7.5500   0.4164  -1.4977   2.7097   1.2088   0.1734   0.0189   0.0018   0.0001   0.0000
    7.6000   0.4070  -1.5034   2.7134   1.2213   0.1816   0.0200   0.0019   0.0001   0.0000
    7.6500   0.3976  -1.5091   2.7169   1.2331   0.1900   0.0212   0.0020   0.0002   0.0000
    7.7000   0.3883  -1.5148   2.7205   1.2442   0.1987   0.0225   0.0022   0.0002   0.0000
    7.7500   0.3789  -1.5205   2.7239   1.2546   0.2076   0.0238   0.0023   0.0002   0.0000
    7.8000   0.3696  -1.5262   2.7273   1.2644   0.2168   0.0252   0.0025   0.0002   0.0000
    7.8500   0.3602  -1.5319   2.7306   1.2736   0.2263   0.0266   0.0027   0.0002   0.0000
    7.9000   0.3509  -1.5376   2.7338   1.2821   0.2361   0.0282   0.0029   0.0002   0.0000
    7.9500   0.3415  -1.5433   2.7369   1.2901   0.2461   0.0297   0.0031   0.0003   0.0000
    8.0000   0.3322  -1.5491   2.7398   1.2976   0.2564   0.0314   0.0033   0.0003   0.0000
    8.0500   0.3228  -1.5548   2.7427   1.3046   0.2669   0.0332   0.0035   0.0003   0.0000
    8.1000   0.3135  -1.5606   2.7454   1.3111   0.2777   0.0350   0.0038   0.0003   0.0000
    8.1500   0.3041  -1.5664   2.7479   1.3171   0.2888   0.0369   0.0040   0.0003   0.0000
    8.2000   0.2947  -1.5723   2.7504   1.3227   0.3000   0.0389   0.0043   0.0004   0.0000
    8.2500   0.2853  -1.5782   2.7526   1.3278   0.3115   0.0409   0.0046   0.0004   0.0000
    8.3000   0.2759  -1.5842   2.7547   1.3326   0.3233   0.0431   0.0049   0.0004   0.0000
    8.3500   0.2665  -1.5901   2.7566   1.3370   0.3352   0.0453   0.0052   0.0005   0.0000
    8.4000   0.2570  -1.5962   2.7584   1.3411   0.3473   0.0477   0.0055   0.0005   0.0000
    8.4500   0.2475  -1.6022   2.7599   1.3448   0.3596   0.0501   0.0059   0.0006   0.0000
    8.5000   0.2380  -1.6084   2.7613   1.3483   0.3721   0.0527   0.0062   0.0006   0.0000
    8.5500   0.2285  -1.6146   2.7625   1.3514   0.3847   0.0553   0.0066   0.0006   0.0000
    8.6000   0.2189  -1.6208   2.7635   1.3543   0.3974   0.0581   0.0071   0.0007   0.0001
    8.6500   0.2093  -1.6271   2.7644   1.3569   0.4103   0.0610   0.0075   0.0007   0.0001
    8.7000   0.1997  -1.6335   2.7650   1.3593   0.4233   0.0639   0.0080   0.0008   0.0001
    8.7500   0.1901  -1.6399   2.7655   1.3615   0.4363   0.0670   0.0084   0.0009   0.0001
    8.8000   0.1804  -1.6463   2.7658   1.3635   0.4494   0.0702   0.0089   0.0009   0.0001
    8.8500   0.1707  -1.6529   2.7659   1.3653   0.4626   0.0735   0.0095   0.0010   0.0001
    8.9000   0.1610  -1.6595   2.7658   1.3669   0.4758   0.0770   0.0100   0.0011   0.0001
    8.9500   0.1512  -1.6662   2.7655   1.3684   0.4889   0.0805   0.0106   0.0011   0.0001
    9.0000   0.1414  -1.6729   2.7650   1.3697   0.5021   0.0842   0.0113   0.0012   0.0001
    9.0500   0.1316  -1.6797   2.7644   1.3709   0.5152   0.0881   0.0119   0.0013   0.0001
    9.1000   0.1217  -1.6865   2.7635   1.3720   0.5283   0.0920   0.0126   0.0014   0.0001
    9.1500   0.1118  -1.6935   2.7625   1.3730   0.5413   0.0961   0.0133   0.0015   0.0001
    9.2000   0.1019  -1.7005   2.7613   1.3739   0.5542   0.1003   0.0141   0.0016   0.0001
    9.2500   0.0920  -1.7075   2.7600   1.3747   0.5670   0.1047   0.0148   0.0017   0.0002
    9.3000   0.0820  -1.7146   2.7585   1.3754   0.5796   0.1092   0.0157   0.0018   0.0002
    9.3500   0.0720  -1.7218   2.7568   1.3761   0.5921   0.1138   0.0165   0.0019   0.0002
    9.4000   0.0619  -1.7291   2.7550   1.3768   0.6044   0.1186   0.0174   0.0021   0.0002
    9.4500   0.0518  -1.7364   2.7530   1.3773   0.6166   0.1235   0.0183   0.0022   0.0002
    9.5000   0.0417  -1.7437   2.7509   1.3779   0.6285   0.1285   0.0193   0.0024   0.0002
    9.5500   0.0316  -1.7512   2.7486   1.3785   0.6403   0.1337   0.0203   0.0025   0.0002
    9.6000   0.0214  -1.7587   2.7462   1.3790   0.6518   0.1391   0.0214   0.0027   0.0003
    9.6500   0.0112  -1.7662   2.7436   1.3795   0.6630   0.1446   0.0225   0.0028   0.0003
