    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

        Fe 2p           Silver radial matrix data

        binding energy =  685.175 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
       5.0000    0.46472E-01      3.0756    0.10534E-01      1.3522
       5.0500    0.46510E-01      3.0732    0.10550E-01      1.3341
       5.1000    0.46546E-01      3.0708    0.10565E-01      1.3161
       5.1500    0.46581E-01      3.0684    0.10579E-01      1.2982
       5.2000    0.46614E-01      3.0660    0.10591E-01      1.2805
       5.2500    0.46645E-01      3.0636    0.10603E-01      1.2629
       5.3000    0.46673E-01      3.0613    0.10613E-01      1.2454
       5.3500    0.46699E-01      3.0589    0.10622E-01      1.2280
       5.4000    0.46721E-01      3.0566    0.10630E-01      1.2107
       5.4500    0.46741E-01      3.0542    0.10637E-01      1.1935
       5.5000    0.46756E-01      3.0519    0.10642E-01      1.1764
       5.5500    0.46768E-01      3.0496    0.10647E-01      1.1594
       5.6000    0.46776E-01      3.0473    0.10651E-01      1.1425
       5.6500    0.46779E-01      3.0450    0.10653E-01      1.1257
       5.7000    0.46778E-01      3.0427    0.10655E-01      1.1090
       5.7500    0.46772E-01      3.0404    0.10656E-01      1.0923
       5.8000    0.46761E-01      3.0381    0.10656E-01      1.0757
       5.8500    0.46746E-01      3.0357    0.10656E-01      1.0592
       5.9000    0.46725E-01      3.0334    0.10654E-01      1.0428
       5.9500    0.46700E-01      3.0311    0.10652E-01      1.0265
       6.0000    0.46670E-01      3.0287    0.10649E-01      1.0102
       6.0500    0.46636E-01      3.0263    0.10646E-01      0.9940
       6.1000    0.46596E-01      3.0239    0.10642E-01      0.9778
       6.1500    0.46553E-01      3.0214    0.10637E-01      0.9618
       6.2000    0.46505E-01      3.0189    0.10632E-01      0.9458
       6.2500    0.46453E-01      3.0163    0.10627E-01      0.9299
       6.3000    0.46397E-01      3.0138    0.10621E-01      0.9140
       6.3500    0.46337E-01      3.0111    0.10614E-01      0.8982
       6.4000    0.46274E-01      3.0084    0.10607E-01      0.8825
       6.4500    0.46208E-01      3.0057    0.10600E-01      0.8669
       6.5000    0.46139E-01      3.0029    0.10593E-01      0.8514
       6.5500    0.46067E-01      3.0000    0.10584E-01      0.8359
       6.6000    0.45993E-01      2.9972    0.10577E-01      0.8205
       6.6500    0.45916E-01      2.9942    0.10568E-01      0.8052
       6.7000    0.45838E-01      2.9912    0.10559E-01      0.7900
       6.7500    0.45758E-01      2.9882    0.10550E-01      0.7748
       6.8000    0.45676E-01      2.9851    0.10541E-01      0.7598
       6.8500    0.45593E-01      2.9820    0.10531E-01      0.7448
       6.9000    0.45509E-01      2.9788    0.10522E-01      0.7299
       6.9500    0.45424E-01      2.9756    0.10511E-01      0.7151
       7.0000    0.45337E-01      2.9724    0.10501E-01      0.7004
       7.0500    0.45251E-01      2.9692    0.10490E-01      0.6858
       7.1000    0.45163E-01      2.9659    0.10479E-01      0.6713
       7.1500    0.45075E-01      2.9626    0.10468E-01      0.6569
       7.2000    0.44987E-01      2.9594    0.10456E-01      0.6426
       7.2500    0.44897E-01      2.9561    0.10444E-01      0.6283
       7.3000    0.44808E-01      2.9528    0.10432E-01      0.6142
       7.3500    0.44717E-01      2.9494    0.10419E-01      0.6002
       7.4000    0.44627E-01      2.9461    0.10406E-01      0.5862
       7.4500    0.44535E-01      2.9428    0.10393E-01      0.5724
       7.5000    0.44443E-01      2.9396    0.10379E-01      0.5586
       7.5500    0.44350E-01      2.9363    0.10365E-01      0.5449
       7.6000    0.44257E-01      2.9330    0.10350E-01      0.5314
       7.6500    0.44162E-01      2.9298    0.10335E-01      0.5179
       7.7000    0.44066E-01      2.9266    0.10319E-01      0.5045
       7.7500    0.43970E-01      2.9234    0.10303E-01      0.4912
       7.8000    0.43872E-01      2.9202    0.10287E-01      0.4779
       7.8500    0.43772E-01      2.9171    0.10270E-01      0.4648
       7.9000    0.43671E-01      2.9139    0.10252E-01      0.4517
       7.9500    0.43569E-01      2.9108    0.10234E-01      0.4387
       8.0000    0.43465E-01      2.9077    0.10216E-01      0.4258
       8.0500    0.43359E-01      2.9047    0.10197E-01      0.4130
       8.1000    0.43251E-01      2.9016    0.10177E-01      0.4002
       8.1500    0.43141E-01      2.8986    0.10157E-01      0.3875
       8.2000    0.43030E-01      2.8956    0.10137E-01      0.3749
       8.2500    0.42916E-01      2.8926    0.10116E-01      0.3624
       8.3000    0.42800E-01      2.8896    0.10095E-01      0.3499
       8.3500    0.42683E-01      2.8867    0.10073E-01      0.3374
       8.4000    0.42563E-01      2.8837    0.10051E-01      0.3250
       8.4500    0.42441E-01      2.8808    0.10028E-01      0.3127
       8.5000    0.42317E-01      2.8778    0.10005E-01      0.3004
       8.5500    0.42191E-01      2.8749    0.99813E-02      0.2882
       8.6000    0.42063E-01      2.8719    0.99575E-02      0.2760
       8.6500    0.41934E-01      2.8690    0.99333E-02      0.2639
       8.7000    0.41802E-01      2.8660    0.99088E-02      0.2518
       8.7500    0.41669E-01      2.8631    0.98840E-02      0.2398
       8.8000    0.41534E-01      2.8601    0.98589E-02      0.2278
       8.8500    0.41398E-01      2.8571    0.98335E-02      0.2159
       8.9000    0.41260E-01      2.8541    0.98079E-02      0.2040
       8.9500    0.41121E-01      2.8511    0.97820E-02      0.1921
       9.0000    0.40981E-01      2.8481    0.97560E-02      0.1803
       9.0500    0.40840E-01      2.8450    0.97298E-02      0.1686
       9.1000    0.40698E-01      2.8420    0.97033E-02      0.1568
       9.1500    0.40555E-01      2.8389    0.96768E-02      0.1451
       9.2000    0.40412E-01      2.8358    0.96501E-02      0.1335
       9.2500    0.40268E-01      2.8328    0.96233E-02      0.1219
