    721    14   256     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1 2p           1 radial matrix data

        binding energy =  755.851 eV

            k     R(li+1)    phase(li+1)     R(li-1)    phase(li-1)
       5.0000    0.34162E-01      2.6870    0.91806E-02      0.9957
       5.0500    0.34441E-01      2.6829    0.92361E-02      0.9812
       5.1000    0.34723E-01      2.6789    0.92905E-02      0.9669
       5.1500    0.35007E-01      2.6751    0.93439E-02      0.9527
       5.2000    0.35293E-01      2.6714    0.93963E-02      0.9387
       5.2500    0.35581E-01      2.6680    0.94476E-02      0.9248
       5.3000    0.35872E-01      2.6647    0.94979E-02      0.9111
       5.3500    0.36164E-01      2.6615    0.95470E-02      0.8976
       5.4000    0.36458E-01      2.6586    0.95951E-02      0.8842
       5.4500    0.36754E-01      2.6558    0.96420E-02      0.8709
       5.5000    0.37050E-01      2.6533    0.96877E-02      0.8578
       5.5500    0.37347E-01      2.6509    0.97322E-02      0.8449
       5.6000    0.37645E-01      2.6487    0.97755E-02      0.8320
       5.6500    0.37944E-01      2.6467    0.98176E-02      0.8194
       5.7000    0.38242E-01      2.6450    0.98584E-02      0.8068
       5.7500    0.38540E-01      2.6434    0.98979E-02      0.7944
       5.8000    0.38837E-01      2.6420    0.99361E-02      0.7822
       5.8500    0.39133E-01      2.6409    0.99730E-02      0.7700
       5.9000    0.39427E-01      2.6400    0.10008E-01      0.7581
       5.9500    0.39720E-01      2.6392    0.10043E-01      0.7462
       6.0000    0.40010E-01      2.6387    0.10075E-01      0.7344
       6.0500    0.40297E-01      2.6384    0.10107E-01      0.7228
       6.1000    0.40581E-01      2.6384    0.10137E-01      0.7113
       6.1500    0.40862E-01      2.6385    0.10165E-01      0.7000
       6.2000    0.41138E-01      2.6389    0.10192E-01      0.6887
       6.2500    0.41409E-01      2.6395    0.10217E-01      0.6776
       6.3000    0.41676E-01      2.6402    0.10241E-01      0.6665
       6.3500    0.41936E-01      2.6412    0.10264E-01      0.6556
       6.4000    0.42190E-01      2.6424    0.10284E-01      0.6448
       6.4500    0.42437E-01      2.6438    0.10304E-01      0.6340
