   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Cobalto
 calculated by Yosef on Aug  6, 2026

   initial angular momentum (li) = 1   msorder=  8   raorder= 4
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   9.0,  20.0 and   4.09 angstrom
   cluster size= 165 atoms and spacings=  0.00  2.17  2.17  1.76 angs
   inner potential=  0.1 V  debye and sample temperature= 174, 300 K
   number of valence electrons=   9     bandgap energy=   0.00 eV
   density of bulk=   8.90 g/cm3     molecular weight=  58.93 amu
   effective weight=  107.9 amu
   half aperture angle=    1.5 deg            pathcut=     0.0050

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    19   779    1   19   41  779  ncurve npoint nk ntheta nphi nangle
   1    41  13.63   18.0    1.0    0.0   ----------------------------
  111.0    6.3689e-03    5.8019e-03    9.7720e-02   -1.3333e-02
  114.0    6.4486e-03    5.8019e-03    1.1146e-01   -2.6705e-02
  117.0    6.5136e-03    5.8019e-03    1.2265e-01   -1.1138e-02
  120.0    6.5271e-03    5.8019e-03    1.2499e-01    1.0988e-02
  123.0    6.5124e-03    5.8019e-03    1.2244e-01    1.5717e-02
  126.0    6.4449e-03    5.8019e-03    1.1081e-01    2.5430e-02
  129.0    6.3645e-03    5.8019e-03    9.6955e-02    5.2995e-02
  132.0    6.2682e-03    5.8019e-03    8.0364e-02    5.4504e-02
  135.0    6.1016e-03    5.8019e-03    5.1641e-02    1.1787e-02
  138.0    5.9391e-03    5.8019e-03    2.3643e-02   -2.4085e-02
  141.0    5.7528e-03    5.8019e-03   -8.4707e-03   -4.8855e-02
  144.0    5.4835e-03    5.8019e-03   -5.4881e-02   -1.4787e-02
  147.0    5.2609e-03    5.8019e-03   -9.3258e-02   -2.0491e-02
  150.0    5.1887e-03    5.8019e-03   -1.0570e-01    1.1745e-02
  153.0    5.0845e-03    5.8019e-03   -1.2365e-01   -1.5968e-02
  156.0    5.1004e-03    5.8019e-03   -1.2091e-01   -1.2477e-02
  159.0    5.2645e-03    5.8019e-03   -9.2630e-02   -4.5813e-02
  162.0    5.3643e-03    5.8019e-03   -7.5428e-02   -6.3418e-02
  165.0    5.5383e-03    5.8019e-03   -4.5434e-02   -3.7200e-02
  168.0    5.7785e-03    5.8019e-03   -4.0349e-03   -8.1792e-03
  171.0    5.9041e-03    5.8019e-03    1.7611e-02    2.6642e-02
  174.0    6.0107e-03    5.8019e-03    3.5985e-02    2.0564e-02
  177.0    6.0895e-03    5.8019e-03    4.9566e-02    3.0183e-02
  180.0    6.0786e-03    5.8019e-03    4.7681e-02    7.7510e-02
  183.0    6.0894e-03    5.8019e-03    4.9537e-02    4.6800e-02
  186.0    6.0105e-03    5.8019e-03    3.5938e-02    4.7168e-02
  189.0    5.9038e-03    5.8019e-03    1.7554e-02    1.9678e-02
  192.0    5.7784e-03    5.8019e-03   -4.0523e-03    1.9096e-02
  195.0    5.5382e-03    5.8019e-03   -4.5453e-02   -6.0049e-03
  198.0    5.3644e-03    5.8019e-03   -7.5413e-02   -3.3532e-02
  201.0    5.2648e-03    5.8019e-03   -9.2582e-02   -2.7964e-03
  204.0    5.1008e-03    5.8019e-03   -1.2085e-01   -3.5458e-02
  207.0    5.0849e-03    5.8019e-03   -1.2360e-01   -3.7249e-02
  210.0    5.1890e-03    5.8019e-03   -1.0565e-01   -6.7729e-02
  213.0    5.2609e-03    5.8019e-03   -9.3254e-02   -1.5264e-02
  216.0    5.4833e-03    5.8019e-03   -5.4917e-02   -1.5289e-02
  219.0    5.7523e-03    5.8019e-03   -8.5500e-03    3.4591e-02
  222.0    5.9386e-03    5.8019e-03    2.3546e-02    2.5457e-02
  225.0    6.1010e-03    5.8019e-03    5.1537e-02    3.3885e-02
  228.0    6.2675e-03    5.8019e-03    8.0248e-02    4.5536e-03
  231.0    6.3638e-03    5.8019e-03    9.6838e-02   -1.3528e-02
   2    41  13.63   21.0    1.0    0.0   ----------------------------
  111.0    6.3378e-03    5.9498e-03    6.5205e-02   -7.3413e-02
  114.0    6.2592e-03    5.9498e-03    5.1991e-02    1.8364e-02
  117.0    6.1983e-03    5.9498e-03    4.1756e-02    5.1760e-02
  120.0    6.1551e-03    5.9498e-03    3.4498e-02    6.3395e-02
  123.0    6.1976e-03    5.9498e-03    4.1638e-02    2.5307e-02
  126.0    6.2573e-03    5.9498e-03    5.1680e-02    2.2145e-02
  129.0    6.3344e-03    5.9498e-03    6.4633e-02    1.1997e-02
  132.0    6.3480e-03    5.9498e-03    6.6915e-02    1.2015e-02
  135.0    6.2813e-03    5.9498e-03    5.5707e-02   -7.5110e-03
  138.0    6.1069e-03    5.9498e-03    2.6403e-02   -5.9268e-02
  141.0    5.8589e-03    5.9498e-03   -1.5277e-02   -7.6990e-02
  144.0    5.6145e-03    5.9498e-03   -5.6356e-02   -6.9689e-02
  147.0    5.4530e-03    5.9498e-03   -8.3504e-02   -3.2383e-02
  150.0    5.3851e-03    5.9498e-03   -9.4924e-02   -3.9124e-02
  153.0    5.3891e-03    5.9498e-03   -9.4243e-02   -3.1160e-02
