   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Parallel  Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of Cobalto
 calculated by Yufeng Chen (LBNL) on Aug  6, 2026

   initial angular momentum (li) = 1   msorder=  1   raorder= 0
   photon polarization angle (polar,azimuth) =(  30.0   0.0 ) (deg)

   radius, depth and lattice constant=   0.0,   3.0 and   4.09 angstrom
   cluster size=   4 atoms and spacings=  0.00 angstrom
   inner potential=  0.0 V  debye and sample temperature=   1,   0 K
   number of valence electrons=   9     bandgap energy=   0.00 eV
   density of bulk=   8.90 g/cm3     molecular weight=  58.93 amu
   effective weight=  107.9 amu
   half aperture angle=    1.5 deg            pathcut=     0.0000

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    19   779    1   19   41  779  ncurve npoint nk ntheta nphi nangle
   1    41  13.63   18.0    1.0    0.0   ----------------------------
  111.0    9.7711e-04    9.7533e-04    1.8266e-03   -1.3333e-02
  114.0    9.7975e-04    9.7533e-04    4.5344e-03   -2.6705e-02
  117.0    9.7833e-04    9.7533e-04    3.0774e-03   -1.1138e-02
  120.0    9.7439e-04    9.7533e-04   -9.5969e-04    1.0988e-02
  123.0    9.7167e-04    9.7533e-04   -3.7451e-03    1.5717e-02
  126.0    9.7166e-04    9.7533e-04   -3.7615e-03    2.5430e-02
  129.0    9.7254e-04    9.7533e-04   -2.8559e-03    5.2995e-02
  132.0    9.7296e-04    9.7533e-04   -2.4282e-03    5.4504e-02
  135.0    9.7432e-04    9.7533e-04   -1.0344e-03    1.1787e-02
  138.0    9.7809e-04    9.7533e-04    2.8296e-03   -2.4085e-02
  141.0    9.8211e-04    9.7533e-04    6.9504e-03   -4.8855e-02
  144.0    9.8231e-04    9.7533e-04    7.1614e-03   -1.4787e-02
  147.0    9.7801e-04    9.7533e-04    2.7497e-03   -2.0491e-02
  150.0    9.7309e-04    9.7533e-04   -2.2987e-03    1.1745e-02
  153.0    9.7174e-04    9.7533e-04   -3.6773e-03   -1.5968e-02
  156.0    9.7422e-04    9.7533e-04   -1.1356e-03   -1.2477e-02
  159.0    9.7743e-04    9.7533e-04    2.1507e-03   -4.5813e-02
  162.0    9.7846e-04    9.7533e-04    3.2154e-03   -6.3418e-02
  165.0    9.7677e-04    9.7533e-04    1.4784e-03   -3.7200e-02
  168.0    9.7365e-04    9.7533e-04   -1.7169e-03   -8.1792e-03
  171.0    9.7098e-04    9.7533e-04   -4.4558e-03    2.6642e-02
  174.0    9.7020e-04    9.7533e-04   -5.2621e-03    2.0564e-02
  177.0    9.7172e-04    9.7533e-04   -3.6954e-03    3.0183e-02
  180.0    9.7456e-04    9.7533e-04   -7.8946e-04    7.7510e-02
  183.0    9.7670e-04    9.7533e-04    1.4068e-03    4.6800e-02
  186.0    9.7649e-04    9.7533e-04    1.1889e-03    4.7168e-02
  189.0    9.7398e-04    9.7533e-04   -1.3863e-03    1.9678e-02
  192.0    9.7104e-04    9.7533e-04   -4.3988e-03    1.9096e-02
  195.0    9.7000e-04    9.7533e-04   -5.4655e-03   -6.0049e-03
  198.0    9.7189e-04    9.7533e-04   -3.5219e-03   -3.3532e-02
  201.0    9.7580e-04    9.7533e-04    4.8125e-04   -2.7964e-03
  204.0    9.7959e-04    9.7533e-04    4.3682e-03   -3.5458e-02
  207.0    9.8146e-04    9.7533e-04    6.2900e-03   -3.7249e-02
  210.0    9.8096e-04    9.7533e-04    5.7740e-03   -6.7729e-02
  213.0    9.7887e-04    9.7533e-04    3.6291e-03   -1.5264e-02
  216.0    9.7642e-04    9.7533e-04    1.1178e-03   -1.5289e-02
  219.0    9.7453e-04    9.7533e-04   -8.1533e-04    3.4591e-02
  222.0    9.7348e-04    9.7533e-04   -1.8957e-03    2.5457e-02
  225.0    9.7316e-04    9.7533e-04   -2.2223e-03    3.3885e-02
  228.0    9.7348e-04    9.7533e-04   -1.8957e-03    4.5536e-03
  231.0    9.7453e-04    9.7533e-04   -8.1503e-04   -1.3528e-02
   2    41  13.63   21.0    1.0    0.0   ----------------------------
  111.0    9.7822e-04    9.7621e-04    2.0590e-03   -7.3413e-02
  114.0    9.8133e-04    9.7621e-04    5.2438e-03    1.8364e-02
  117.0    9.8038e-04    9.7621e-04    4.2696e-03    5.1760e-02
  120.0    9.7559e-04    9.7621e-04   -6.3407e-04    6.3395e-02
  123.0    9.7221e-04    9.7621e-04   -4.1007e-03    2.5307e-02
  126.0    9.7385e-04    9.7621e-04   -2.4189e-03    2.2145e-02
  129.0    9.7690e-04    9.7621e-04    7.0405e-04    1.1997e-02
  132.0    9.7628e-04    9.7621e-04    7.2360e-05    1.2015e-02
  135.0    9.7395e-04    9.7621e-04   -2.3131e-03   -7.5110e-03
  138.0    9.7496e-04    9.7621e-04   -1.2785e-03   -5.9268e-02
  141.0    9.7825e-04    9.7621e-04    2.0938e-03   -7.6990e-02
  144.0    9.7873e-04    9.7621e-04    2.5845e-03   -6.9689e-02
  147.0    9.7595e-04    9.7621e-04   -2.6971e-04   -3.2383e-02
  150.0    9.7373e-04    9.7621e-04   -2.5368e-03   -3.9124e-02
